ClusterId, Centroid, Id, SepalWidthCm, PetalWidthCm
2, [3.083333333333334, 2.066666666666666], 138, 3.1, 1.8
2, [3.083333333333334, 2.066666666666666], 148, 3.0, 2.0
0, [3.4000000000000004, 0.24047619047619045], 11, 3.7, 0.2
0, [3.4000000000000004, 0.24047619047619045], 9, 2.9, 0.2
0, [3.4000000000000004, 0.24047619047619045], 21, 3.4, 0.2
2, [3.083333333333334, 2.066666666666666], 123, 2.8, 2.0
1, [2.711904761904762, 1.295238095238095], 61, 2.0, 1.0
1, [2.711904761904762, 1.295238095238095], 76, 3.0, 1.4
0, [3.4000000000000004, 0.24047619047619045], 38, 3.1, 0.1
1, [2.711904761904762, 1.295238095238095], 135, 2.6, 1.4
0, [3.4000000000000004, 0.24047619047619045], 40, 3.4, 0.2
1, [2.711904761904762, 1.295238095238095], 66, 3.1, 1.4
1, [2.711904761904762, 1.295238095238095], 92, 3.0, 1.4
0, [3.4000000000000004, 0.24047619047619045], 45, 3.8, 0.4
0, [3.4000000000000004, 0.24047619047619045], 10, 3.1, 0.1
0, [3.4000000000000004, 0.24047619047619045], 18, 3.5, 0.3
2, [3.083333333333334, 2.066666666666666], 137, 3.4, 2.4
0, [3.4000000000000004, 0.24047619047619045], 35, 3.1, 0.1
1, [2.711904761904762, 1.295238095238095], 75, 2.9, 1.3
2, [3.083333333333334, 2.066666666666666], 116, 3.2, 2.3
2, [3.083333333333334, 2.066666666666666], 119, 2.6, 2.3
2, [3.083333333333334, 2.066666666666666], 127, 2.8, 1.8
2, [3.083333333333334, 2.066666666666666], 112, 2.7, 1.9
2, [3.083333333333334, 2.066666666666666], 129, 2.8, 2.1
0, [3.4000000000000004, 0.24047619047619045], 37, 3.5, 0.2
0, [3.4000000000000004, 0.24047619047619045], 39, 3.0, 0.2
0, [3.4000000000000004, 0.24047619047619045], 50, 3.3, 0.2
1, [2.711904761904762, 1.295238095238095], 94, 2.3, 1.0
2, [3.083333333333334, 2.066666666666666], 140, 3.1, 2.1
1, [2.711904761904762, 1.295238095238095], 97, 2.9, 1.3
0, [3.4000000000000004, 0.24047619047619045], 28, 3.5, 0.2
2, [3.083333333333334, 2.066666666666666], 86, 3.4, 1.6
1, [2.711904761904762, 1.295238095238095], 83, 2.7, 1.2
0, [3.4000000000000004, 0.24047619047619045], 44, 3.5, 0.6
1, [2.711904761904762, 1.295238095238095], 80, 2.6, 1.0
1, [2.711904761904762, 1.295238095238095], 51, 3.2, 1.4
2, [3.083333333333334, 2.066666666666666], 149, 3.4, 2.3
1, [2.711904761904762, 1.295238095238095], 77, 2.8, 1.4
2, [3.083333333333334, 2.066666666666666], 146, 3.0, 2.3
0, [3.4000000000000004, 0.24047619047619045], 3, 3.2, 0.2
1, [2.711904761904762, 1.295238095238095], 53, 3.1, 1.5
1, [2.711904761904762, 1.295238095238095], 64, 2.9, 1.4
1, [2.711904761904762, 1.295238095238095], 81, 2.4, 1.1
0, [3.4000000000000004, 0.24047619047619045], 29, 3.4, 0.2
2, [3.083333333333334, 2.066666666666666], 114, 2.5, 2.0
0, [3.4000000000000004, 0.24047619047619045], 36, 3.2, 0.2
2, [3.083333333333334, 2.066666666666666], 101, 3.3, 2.5
1, [2.711904761904762, 1.295238095238095], 54, 2.3, 1.3
1, [2.711904761904762, 1.295238095238095], 67, 3.0, 1.5
2, [3.083333333333334, 2.066666666666666], 71, 3.2, 1.8
1, [2.711904761904762, 1.295238095238095], 42, 2.3, 0.3
1, [2.711904761904762, 1.295238095238095], 63, 2.2, 1.0
0, [3.4000000000000004, 0.24047619047619045], 34, 4.2, 0.2
2, [3.083333333333334, 2.066666666666666], 133, 2.8, 2.2
0, [3.4000000000000004, 0.24047619047619045], 24, 3.3, 0.5
2, [3.083333333333334, 2.066666666666666], 104, 2.9, 1.8
2, [3.083333333333334, 2.066666666666666], 57, 3.3, 1.6
2, [3.083333333333334, 2.066666666666666], 113, 3.0, 2.1
2, [3.083333333333334, 2.066666666666666], 124, 2.7, 1.8
2, [3.083333333333334, 2.066666666666666], 78, 3.0, 1.7
2, [3.083333333333334, 2.066666666666666], 128, 3.0, 1.8
1, [2.711904761904762, 1.295238095238095], 69, 2.2, 1.5
2, [3.083333333333334, 2.066666666666666], 105, 3.0, 2.2
0, [3.4000000000000004, 0.24047619047619045], 46, 3.0, 0.3
0, [3.4000000000000004, 0.24047619047619045], 32, 3.4, 0.4
